filename,width,height,class,xmin,ymin,xmax,ymax
1.jpg,574,500,polyp,241,177,298,212
2.jpg,574,500,polyp,254,78,301,112
3.jpg,574,500,polyp,26,310,182,437
4.jpg,574,500,polyp,147,361,288,459
5.jpg,574,500,polyp,188,370,312,459
6.jpg,574,500,polyp,198,279,295,354
7.jpg,574,500,polyp,192,256,289,332
8.jpg,574,500,polyp,165,161,261,235
9.jpg,574,500,polyp,174,122,276,201
10.jpg,574,500,polyp,152,413,266,479
11.jpg,574,500,polyp,363,118,534,362
12.jpg,574,500,polyp,14,333,106,460
13.jpg,574,500,polyp,46,286,129,395
14.jpg,574,500,polyp,220,294,347,430
15.jpg,574,500,polyp,346,288,449,413
16.jpg,574,500,polyp,287,210,454,416
17.jpg,574,500,polyp,266,175,420,346
18.jpg,574,500,polyp,316,277,444,425
19.jpg,574,500,polyp,209,227,343,398
20.jpg,574,500,polyp,116,158,289,376
21.jpg,574,500,polyp,100,173,234,369
22.jpg,574,500,polyp,78,219,194,396
23.jpg,574,500,polyp,330,283,471,433
24.jpg,574,500,polyp,203,233,375,424
25.jpg,574,500,polyp,179,379,320,473
26.jpg,574,500,polyp,199,143,293,223
27.jpg,574,500,polyp,384,389,476,465
28.jpg,574,500,polyp,366,148,526,373
29.jpg,574,500,polyp,400,86,549,301
30.jpg,574,500,polyp,11,347,112,476
31.jpg,574,500,polyp,244,295,366,424
32.jpg,574,500,polyp,126,237,297,434
33.jpg,574,500,polyp,316,281,440,431
34.jpg,574,500,polyp,79,205,200,394
35.jpg,574,500,polyp,206,228,381,415
36.jpg,574,500,polyp,114,273,252,450
37.jpg,574,500,polyp,319,299,452,459
38.jpg,574,500,polyp,230,217,390,391
39.jpg,574,500,polyp,286,234,353,308
40.jpg,574,500,polyp,261,209,360,324
41.jpg,574,500,polyp,208,138,302,237
42.jpg,574,500,polyp,252,121,329,211
43.jpg,574,500,polyp,283,148,370,261
44.jpg,574,500,polyp,184,248,244,313
45.jpg,574,500,polyp,152,105,271,229
46.jpg,574,500,polyp,140,91,236,184
47.jpg,574,500,polyp,189,160,262,251
48.jpg,574,500,polyp,147,122,247,222
49.jpg,574,500,polyp,197,220,314,349
50.jpg,574,500,polyp,140,263,192,327
51.jpg,574,500,polyp,160,283,207,344
52.jpg,574,500,polyp,196,120,279,219
53.jpg,574,500,polyp,253,114,326,191
54.jpg,574,500,polyp,199,140,266,227
55.jpg,574,500,polyp,202,245,262,313
56.jpg,574,500,polyp,202,193,254,262
57.jpg,574,500,polyp,102,144,208,267
58.jpg,574,500,polyp,177,127,298,255
59.jpg,574,500,polyp,156,124,258,241
60.jpg,574,500,polyp,143,163,215,256
61.jpg,574,500,polyp,451,260,549,400
62.jpg,574,500,polyp,228,244,463,480
63.jpg,574,500,polyp,220,246,429,481
64.jpg,574,500,polyp,190,219,388,449
65.jpg,574,500,polyp,282,200,468,421
66.jpg,574,500,polyp,279,212,430,397
67.jpg,574,500,polyp,387,244,532,402
68.jpg,574,500,polyp,425,258,546,400
69.jpg,574,500,polyp,367,280,454,410
70.jpg,574,500,polyp,358,300,427,393
71.jpg,574,500,polyp,446,28,516,123
72.jpg,574,500,polyp,374,239,541,451
73.jpg,574,500,polyp,344,240,472,403
74.jpg,574,500,polyp,260,326,328,443
75.jpg,574,500,polyp,379,240,550,479
76.jpg,574,500,polyp,274,219,420,395
77.jpg,574,500,polyp,254,141,364,219
78.jpg,574,500,polyp,274,166,412,240
79.jpg,574,500,polyp,263,201,367,263
80.jpg,574,500,polyp,283,137,360,193
81.jpg,574,500,polyp,263,108,343,153
82.jpg,574,500,polyp,321,137,406,183
83.jpg,574,500,polyp,390,185,453,232
84.jpg,574,500,polyp,340,131,422,182
85.jpg,574,500,polyp,261,162,332,212
86.jpg,574,500,polyp,245,158,315,206
87.jpg,574,500,polyp,282,208,347,258
88.jpg,574,500,polyp,293,195,349,238
89.jpg,574,500,polyp,328,107,379,149
90.jpg,574,500,polyp,295,230,359,280
91.jpg,574,500,polyp,344,247,391,287
92.jpg,574,500,polyp,399,214,451,255
93.jpg,574,500,polyp,435,216,532,288
94.jpg,574,500,polyp,337,141,411,193
95.jpg,574,500,polyp,314,286,408,359
96.jpg,574,500,polyp,312,260,416,343
97.jpg,574,500,polyp,265,247,356,325
98.jpg,574,500,polyp,365,251,494,429
99.jpg,574,500,polyp,404,243,542,474
100.jpg,574,500,polyp,449,193,549,439
101.jpg,574,500,polyp,415,167,526,342
102.jpg,574,500,polyp,170,166,434,408
103.jpg,574,500,polyp,278,111,510,385
104.jpg,574,500,polyp,153,204,439,480
105.jpg,574,500,polyp,246,228,485,479
106.jpg,574,500,polyp,75,288,370,481
107.jpg,574,500,polyp,50,302,322,479
108.jpg,574,500,polyp,368,226,548,478
109.jpg,574,500,polyp,452,217,550,458
110.jpg,574,500,polyp,420,211,549,473
111.jpg,574,500,polyp,381,139,548,404
112.jpg,574,500,polyp,421,106,549,331
113.jpg,574,500,polyp,159,170,410,402
114.jpg,574,500,polyp,115,149,330,327
115.jpg,574,500,polyp,122,200,249,312
116.jpg,574,500,polyp,146,202,238,305
117.jpg,574,500,polyp,465,180,550,331
118.jpg,574,500,polyp,445,173,545,340
119.jpg,574,500,polyp,425,198,499,390
120.jpg,574,500,polyp,464,129,540,325
121.jpg,574,500,polyp,389,38,551,448
122.jpg,574,500,polyp,382,22,549,395
123.jpg,574,500,polyp,389,27,551,373
124.jpg,574,500,polyp,258,232,535,481
125.jpg,574,500,polyp,306,178,548,482
126.jpg,574,500,polyp,260,249,506,482
127.jpg,574,500,polyp,351,149,550,426
128.jpg,574,500,polyp,424,90,550,312
129.jpg,574,500,polyp,212,135,480,407
130.jpg,574,500,polyp,232,136,491,402
131.jpg,574,500,polyp,117,151,342,336
132.jpg,574,500,polyp,397,225,509,406
133.jpg,574,500,polyp,364,248,495,426
134.jpg,574,500,polyp,413,183,533,381
135.jpg,574,500,polyp,391,216,522,422
136.jpg,574,500,polyp,351,245,507,462
137.jpg,574,500,polyp,151,215,440,480
138.jpg,574,500,polyp,241,222,489,482
139.jpg,574,500,polyp,363,218,550,479
140.jpg,574,500,polyp,341,242,542,481
141.jpg,574,500,polyp,337,208,531,450
142.jpg,574,500,polyp,335,210,524,454
